,股票代码,股票简称,关注,最新价
384,SZ002625,光启技术,28,18.61
385,SZ002371,北方华创,28,290.0
386,SH601881,中国银河,28,11.0
387,SZ301007,德迈仕,28,12.75
388,SZ002999,天禾股份,28,6.24
389,SZ300006,莱美药业,28,2.94
390,SH603230,内蒙新华,28,13.09
391,SH600298,安琪酵母,27,28.77
392,SH601188,龙江交通,27,3.45
393,SH600050,中国联通,27,4.52
394,SH603958,哈森股份,27,11.18
395,SZ000413,东旭光电,27,1.64
396,SH605580,恒盛能源,27,10.7
397,SZ002945,华林证券,27,10.99
398,SZ300570,太辰光,27,35.68
399,SH600203,福日电子,27,7.05
400,SH600203,福日电子,27,7.05
401,SZ300252,金信诺,27,7.61
402,SZ002976,瑞玛精密,27,24.09
403,SH600188,兖矿能源,27,24.89
404,SH600133,东湖高新,27,10.86
405,SH600809,山西汾酒,27,240.1
406,SZ300600,国瑞科技,27,7.84
407,SZ002459,晶澳科技,27,15.99
408,SZ001278,一彬科技,27,18.09
409,SZ002045,国光电器,27,12.9
410,SH688076,诺泰生物,27,51.95
411,SZ002693,双成药业,27,5.52
412,SH600100,同方股份,26,6.06
413,SH600633,浙数文化,26,10.08
414,SZ002812,恩捷股份,26,40.96
415,SZ300500,启迪设计,26,8.98
416,SZ002725,跃岭股份,26,9.25
417,SZ002670,国盛金控,26,8.72
418,SH600332,白云山,26,28.61
419,SH603030,*ST全筑,26,2.2
420,SZ301421,波长光电,26,40.67
421,SZ300169,天晟新材,26,5.56
422,SH600776,东方通信,26,9.41
423,SH603005,晶方科技,26,16.58
424,SH605598,上海港湾,26,17.19
425,SZ002611,东方精工,26,6.59
426,SZ300763,锦浪科技,26,58.01
427,SZ300342,天银机电,26,12.83
428,SH603768,常青股份,26,14.24
429,SH603390,通达电气,26,7.58
430,SH603373,安邦护卫,26,32.72
431,SZ300620,光库科技,26,44.43
432,SZ300302,同有科技,26,11.15
433,SZ300548,博创科技,26,23.71
434,SZ301172,君逸数码,26,30.0
435,SZ000568,泸州老窖,26,170.86
436,SZ300114,中航电测,26,40.32
437,SZ300552,万集科技,26,23.76
438,SH600123,兰花科创,25,11.17
439,SZ002866,传艺科技,25,14.57
440,SH600909,华安证券,25,4.48
441,SZ000656,金科股份,25,1.33
442,SZ300366,创意信息,25,8.73
443,SZ300595,欧普康视,25,17.29
444,SH900936,鄂资B股,25,0.964
445,SH601811,新华文轩,25,14.58
446,SZ002921,联诚精密,25,12.66
447,SH603087,甘李药业,25,43.81
448,SH600804,ST鹏博士,25,3.79
449,SZ300212,易华录,25,22.18
450,SZ300094,国联水产,25,3.76
451,SZ002001,新和成,25,17.31
452,BJ833429,康比特,25,10.77
453,SZ002077,大港股份,25,13.18
454,SH600837,海通证券,25,7.94
455,SZ301390,经纬股份,25,32.39
456,SZ002889,东方嘉盛,25,21.79
457,SH688271,联影医疗,25,123.47
458,SH603860,中公高科,25,26.01
459,SZ002351,漫步者,25,11.99
460,SZ001216,华瓷股份,25,13.36
461,SH603779,威龙股份,25,9.33
462,SZ002032,苏泊尔,24,56.83
463,SH605198,安德利,24,37.22
464,SH600660,福耀玻璃,24,44.75
465,SZ301367,怡和嘉业,24,84.14
466,SH603499,翔港科技,24,22.8
467,SZ300760,迈瑞医疗,24,270.64
468,SH603031,安孚科技,24,40.03
469,SH600621,华鑫股份,24,13.01
470,SZ002031,巨轮智能,24,3.38
471,SZ002291,遥望科技,24,5.79
472,SZ002865,钧达股份,24,57.0
473,SH600584,长电科技,24,25.53
474,SH600199,金种子酒,24,14.63
475,SH605117,德业股份,24,85.0
476,SZ300113,顺网科技,24,11.09
477,SZ002931,锋龙股份,24,13.36
478,SZ002590,万安科技,24,12.06
479,SZ300351,永贵电器,24,16.56
480,SH601186,中国铁建,24,8.12
481,SH603516,淳中科技,23,32.0
482,SZ300231,银信科技,23,8.47
483,SH600686,金龙汽车,23,7.83
484,SZ002587,奥拓电子,23,5.87
485,SZ300913,兆龙互连,23,35.07
486,SH605365,立达信,23,16.89
487,SH600551,时代出版,23,12.23
488,SZ000678,襄阳轴承,23,5.15
489,SH603530,神马电力,23,19.12
490,SH688167,炬光科技,23,73.38
491,SH600053,九鼎投资,23,16.47
492,SZ002514,宝馨科技,23,6.23
493,SH600536,中国软件,23,28.85
494,SH601800,中国交建,23,8.53
495,SZ000980,众泰汽车,23,2.12
496,SH600715,文投控股,23,2.32
497,SZ300172,中电环保,23,6.09
498,SZ300541,先进数通,23,13.34
499,SH600089,特变电工,23,14.39
500,SZ001217,华尔泰,23,12.13
501,SZ002576,通达动力,23,13.99
502,SZ002354,天娱数科,23,4.32
503,SH603667,五洲新春,23,16.98
504,SZ002316,亚联发展,23,3.94
505,SZ300999,金龙鱼,23,29.54
506,SH605277,新亚电子,23,14.77
507,SZ301312,智立方,23,56.08
508,SZ000423,东阿阿胶,23,65.5
509,SZ300042,朗科科技,23,25.47
510,SZ002832,比音勒芬,23,29.08
511,SZ300200,高盟新材,23,6.24
512,SZ002336,人人乐,23,8.1
513,SZ002682,龙洲股份,23,4.54
514,SH688281,华秦科技,23,116.3
515,SZ300950,德固特,23,12.74
516,SH600105,永鼎股份,22,4.44
517,SH603107,上海汽配,22,19.12
518,SH603569,长久物流,22,9.4
519,SH688592,司南导航,22,37.6
520,SH603038,华立股份,22,11.79
521,SZ002195,岩山科技,22,2.88
522,SZ300759,康龙化成,22,19.1
523,SZ000973,佛塑科技,22,4.17
524,SZ002708,光洋股份,22,8.06
525,SH600482,中国动力,22,20.59
526,SZ301255,通力科技,22,31.8
527,SZ301228,实朴检测,22,14.0
528,SZ300063,天龙集团,22,4.7
529,SZ000802,北京文化,22,5.86
530,SZ002609,捷顺科技,22,8.6
531,SZ300315,掌趣科技,22,5.08
532,SZ002142,宁波银行,22,21.16
533,SZ002858,力盛体育,22,12.03
534,SH603273,天元智能,22,23.81
535,SZ301499,维科精密,22,23.86
536,SZ002828,贝肯能源,22,10.74
537,SZ300014,亿纬锂能,22,36.69
538,SH600115,中国东航,22,3.45
539,SZ000513,丽珠集团,22,36.89
540,SZ002605,姚记科技,22,21.6
541,SZ300699,光威复材,22,27.6
542,SZ002795,永和智控,22,5.0
543,SZ300494,盛天网络,22,13.45
544,SZ301313,凡拓数创,21,23.66
545,SZ301487,盟固利,21,32.25
546,SH688041,海光信息,21,77.99
547,SZ002115,三维通信,21,5.91
548,SZ002719,麦趣尔,21,7.64
549,SZ300116,保力新,21,1.07
550,SZ002997,瑞鹄模具,21,29.15
551,SZ300738,奥飞数据,21,11.15
552,SZ301280,珠城科技,21,37.17
553,SZ300146,汤臣倍健,21,15.68
554,SH601918,新集能源,21,9.47
555,SZ000541,佛山照明,21,5.5
556,SZ002947,恒铭达,21,27.8
557,SH603189,网达软件,21,12.0
558,SZ000736,中交地产,21,9.18
559,SH603006,联明股份,21,12.22
560,SZ000032,深桑达A,21,16.32
561,SH688690,纳微科技,21,20.05
562,SZ200541,粤照明B,21,2.14
563,SH603066,音飞储存,21,10.7
